item_id,title,owner,type,url,matched_terms,licenseInfo
0908f719d0754bae9260a50b486777e8,Poverty Risk Index-Copy,acarroll_storymaps,Web Map,https://www.arcgis.com/home/item.html?id=0908f719d0754bae9260a50b486777e8,esrilogo,"<img src='http://downloads.esri.com/blogs/arcgisonline/esrilogo_new.png' style='max-width: 100%; height: auto; border: 0px none; font-family: Verdana, Helvetica, sans-serif; font-size: 12px; background-color: rgb(255, 255, 255);' /><span style='font-family: Verdana, Helvetica, sans-serif; font-size: 12px; background-color: rgb(255, 255, 255);'>This work is licensed under the Web Services and API Terms of Use.   </span><br /><span style='font-family: Verdana, Helvetica, sans-serif; font-size: 12px; background-color: rgb(255, 255, 255);'>                               </span><a href='http://links.esri.com/e800-summary' style='color: rgb(33, 117, 155); text-decoration-line: none; font-family: Verdana, Helvetica, sans-serif; font-size: 12px; background-color: rgb(255, 255, 255); outline: none !important;' target='_blank'>View Summary</a><span style='font-family: Verdana, Helvetica, sans-serif; font-size: 12px; background-color: rgb(255, 255, 255);'>  |  </span><a href='http://links.esri.com/agol_tou' style='color: rgb(33, 117, 155); text-decoration-line: none; font-family: Verdana, Helvetica, sans-serif; font-size: 12px; background-color: rgb(255, 255, 255); outline: none !important;' target='_blank'>View Terms of Use</a><span style='font-family: Verdana, Helvetica, sans-serif; font-size: 12px; background-color: rgb(255, 255, 255);'> </span>"
cea22a609a1d4cccb8d54c650b595bc4,Getting started with ArcGIS StoryMaps,acarroll_storymaps,StoryMap,https://www.arcgis.com/home/item.html?id=cea22a609a1d4cccb8d54c650b595bc4,"https://downloads.esri.com/blogs/arcgisonline/esrilogo_new.png, esrilogo","<img src='https://downloads.esri.com/blogs/arcgisonline/esrilogo_new.png' style='max-width:100%; height:auto; font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:16px;' /><span style='font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:16px;'> This work is licensed under the Esri Master License Agreement.</span><br /><div style='font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:16px;'><a href='https://goto.arcgis.com/termsofuse/viewsummary' style='color:rgb(0, 97, 155); text-decoration-line:none;' target='_blank' rel='nofollow ugc noopener noreferrer'><b>View Summary</b></a> | <a href='https://goto.arcgis.com/termsofuse/viewtermsofuse' style='color:rgb(0, 97, 155); text-decoration-line:none;' target='_blank' rel='nofollow ugc noopener noreferrer'><b>View Terms of Use</b></a></div>"
830b18f2bc0b4cf88b1084cdaf35d428,30X30 in the U.S.: The Lands We Share,acarroll_storymaps,StoryMap,https://www.arcgis.com/home/item.html?id=830b18f2bc0b4cf88b1084cdaf35d428,"https://downloads.esri.com/blogs/arcgisonline/esrilogo_new.png, esrilogo","<img src='https://downloads.esri.com/blogs/arcgisonline/esrilogo_new.png' style='max-width:100%; height:auto; font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:16px;' /><span style='font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:16px;'> This work is licensed under the Esri Master License Agreement.</span><br /><div style='font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:16px;'><a href='https://goto.arcgis.com/termsofuse/viewsummary' style='color:rgb(0, 97, 155); text-decoration-line:none;' target='_blank' rel='nofollow ugc noopener noreferrer'><b>View Summary</b></a> | <a href='https://goto.arcgis.com/termsofuse/viewtermsofuse' style='color:rgb(0, 97, 155); text-decoration-line:none;' target='_blank' rel='nofollow ugc noopener noreferrer'><b>View Terms of Use</b></a></div>"
4274392f0ca34b68b039e316830cce91,USA Protected Areas - GAP Status Code-Copy,acarroll_storymaps,Web Map,https://www.arcgis.com/home/item.html?id=4274392f0ca34b68b039e316830cce91,"https://downloads.esri.com/blogs/arcgisonline/esrilogo_new.png, esrilogo",<img alt='' src='https://downloads.esri.com/blogs/arcgisonline/esrilogo_new.png' /> This work is licensed under the Esri Master License Agreement.<br /><div><a href='https://goto.arcgis.com/termsofuse/viewsummary' target='_blank'><b>View Summary</b></a> | <a href='https://goto.arcgis.com/termsofuse/viewtermsofuse' target='_blank'><b>View Terms of Use</b></a></div>
d1ec20eafb1946e7b7cdaef05f08565e,BLM lands,acarroll_storymaps,Web Map,https://www.arcgis.com/home/item.html?id=d1ec20eafb1946e7b7cdaef05f08565e,"https://downloads.esri.com/blogs/arcgisonline/esrilogo_new.png, esrilogo","<img alt='' src='https://downloads.esri.com/blogs/arcgisonline/esrilogo_new.png' />This work is licensed under the Esri Master License Agreement. <br /><div><a href='https://goto.arcgis.com/termsofuse/viewsummary' target='_blank'><b>View Summary</b></a> | <a href='https://goto.arcgis.com/termsofuse/viewtermsofuse' target='_blank'><b>View Terms of Use</b></a> </div><div><span style='line-height: 16.05px;'><br /></span></div><div><font color='#b22222'>Important Note:</font> This item requires an ArcGIS Online organizational subscription or an ArcGIS Developer account and does not consume credits. To access this item, you'll need to do one of the following: </div><div><ul><li>Sign in with an account that is a member of an organizational subscription </li><li>Sign in with a developer account </li><li><a href='https://goto.arcgis.com/termsofuse/registeranapplication' target='_blank'>Register an application</a> and use your application's credentials.</li></ul>If you don't have an account, you can sign up for a <a href='https://goto.arcgis.com/features/trial' target='_blank'>free trial of ArcGIS</a> or a <a href='https://goto.arcgis.com/developers/signup' target='_blank'>free ArcGIS Developer account</a>.</div>"
76550682b3fe4c35ac540ed257dd9ec6,US Forest Service Lands,acarroll_storymaps,Web Map,https://www.arcgis.com/home/item.html?id=76550682b3fe4c35ac540ed257dd9ec6,"https://downloads.esri.com/blogs/arcgisonline/esrilogo_new.png, esrilogo","<img alt='' src='https://downloads.esri.com/blogs/arcgisonline/esrilogo_new.png' />This work is licensed under the Esri Master License Agreement. <br /><div><a href='https://goto.arcgis.com/termsofuse/viewsummary' target='_blank'><b>View Summary</b></a> | <a href='https://goto.arcgis.com/termsofuse/viewtermsofuse' target='_blank'><b>View Terms of Use</b></a> </div><div><span style='line-height: 16.05px;'><br /></span></div><div><font color='#b22222'>Important Note:</font> This item requires an ArcGIS Online organizational subscription or an ArcGIS Developer account and does not consume credits. To access this item, you'll need to do one of the following: </div><div><ul><li>Sign in with an account that is a member of an organizational subscription </li><li>Sign in with a developer account </li><li><a href='https://goto.arcgis.com/termsofuse/registeranapplication' target='_blank'>Register an application</a> and use your application's credentials.</li></ul>If you don't have an account, you can sign up for a <a href='https://goto.arcgis.com/features/trial' target='_blank'>free trial of ArcGIS</a> or a <a href='https://goto.arcgis.com/developers/signup' target='_blank'>free ArcGIS Developer account</a>.</div>"
a079ca488dff432db42c715945621de5,USA Protected Areas - Manager Type-Hawaii,acarroll_storymaps,Web Map,https://www.arcgis.com/home/item.html?id=a079ca488dff432db42c715945621de5,"https://downloads.esri.com/blogs/arcgisonline/esrilogo_new.png, esrilogo","<img alt='' src='https://downloads.esri.com/blogs/arcgisonline/esrilogo_new.png' />This work is licensed under the Esri Master License Agreement. <br /><div><a href='https://goto.arcgis.com/termsofuse/viewsummary' target='_blank'><b>View Summary</b></a> | <a href='https://goto.arcgis.com/termsofuse/viewtermsofuse' target='_blank'><b>View Terms of Use</b></a> </div><div><span style='line-height: 16.05px;'><br /></span></div><div><font color='#b22222'>Important Note:</font> This item requires an ArcGIS Online organizational subscription or an ArcGIS Developer account and does not consume credits. To access this item, you'll need to do one of the following: </div><div><ul><li>Sign in with an account that is a member of an organizational subscription </li><li>Sign in with a developer account </li><li><a href='https://goto.arcgis.com/termsofuse/registeranapplication' target='_blank'>Register an application</a> and use your application's credentials.</li></ul>If you don't have an account, you can sign up for a <a href='https://goto.arcgis.com/features/trial' target='_blank'>free trial of ArcGIS</a> or a <a href='https://goto.arcgis.com/developers/signup' target='_blank'>free ArcGIS Developer account</a>.</div>"
a900831b442e43c79cf9eeb399d5440f,The age of megacities,acarroll_storymaps,StoryMap,https://www.arcgis.com/home/item.html?id=a900831b442e43c79cf9eeb399d5440f,"https://downloads.esri.com/blogs/arcgisonline/esrilogo_new.png, esrilogo","<img src='https://downloads.esri.com/blogs/arcgisonline/esrilogo_new.png' style='max-width:100%; height:auto; font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:16px;' /><span style='font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:16px;'> This work is licensed under the Esri Master License Agreement.</span><br /><div style='font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:16px;'><a href='https://goto.arcgis.com/termsofuse/viewsummary' style='color:rgb(0, 97, 155); text-decoration-line:none;' target='_blank' rel='nofollow ugc noopener noreferrer'><b>View Summary</b></a> | <a href='https://goto.arcgis.com/termsofuse/viewtermsofuse' style='color:rgb(0, 97, 155); text-decoration-line:none;' target='_blank' rel='nofollow ugc noopener noreferrer'><b>View Terms of Use</b></a></div>"
1aa378c884bd48b089b1e91b0ed04ddb,André versus Capability,acarroll_storymaps,StoryMap,https://www.arcgis.com/home/item.html?id=1aa378c884bd48b089b1e91b0ed04ddb,"https://downloads.esri.com/blogs/arcgisonline/esrilogo_new.png, esrilogo","<img src='https://downloads.esri.com/blogs/arcgisonline/esrilogo_new.png' style='max-width:100%; height:auto; font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:16px;' /><span style='font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:16px;'> This work is licensed under the Esri Master License Agreement.</span><br /><div style='font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:16px;'><a href='https://goto.arcgis.com/termsofuse/viewsummary' style='color:rgb(0, 97, 155); text-decoration-line:none;' target='_blank' rel='nofollow ugc noopener noreferrer'><b>View Summary</b></a> | <a href='https://goto.arcgis.com/termsofuse/viewtermsofuse' style='color:rgb(0, 97, 155); text-decoration-line:none;' target='_blank' rel='nofollow ugc noopener noreferrer'><b>View Terms of Use</b></a></div>"
42416c676a1a4df6b187b44cebdcf0bc,The river roads of India,acarroll_storymaps,StoryMap,https://www.arcgis.com/home/item.html?id=42416c676a1a4df6b187b44cebdcf0bc,"https://downloads.esri.com/blogs/arcgisonline/esrilogo_new.png, esrilogo","<img src='https://downloads.esri.com/blogs/arcgisonline/esrilogo_new.png' style='max-width:100%; height:auto; font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:16px;' /><span style='font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:16px;'> This work is licensed under the Esri Master License Agreement.</span><br /><div style='font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:16px;'><a href='https://goto.arcgis.com/termsofuse/viewsummary' style='color:rgb(0, 97, 155); text-decoration-line:none;' target='_blank' rel='nofollow ugc noopener noreferrer'><b>View Summary</b></a> | <a href='https://goto.arcgis.com/termsofuse/viewtermsofuse' style='color:rgb(0, 97, 155); text-decoration-line:none;' target='_blank' rel='nofollow ugc noopener noreferrer'><b>View Terms of Use</b></a></div>"
